Entry	Mass	Length	Gene ontology IDs
P05374	101,204	869	GO:0004608; GO:0005789; GO:0006656; GO:0008654; GO:0016021
P08004	129,871	1131	GO:0000918; GO:0000920; GO:0004100; GO:0005886; GO:0006038; GO:0016021; GO:0030428; GO:0031505; GO:0045009
Q12114	73,639	671	GO:0000282; GO:0000747; GO:0005737; GO:0006039; GO:0006355; GO:0006893; GO:0015031; GO:0016020; GO:0030476; GO:0034044
P38273	80,732	704	GO:0001786; GO:0005768; GO:0005770; GO:0006623; GO:0006914; GO:0007034; GO:0010314; GO:0016236; GO:0017112; GO:0032258; GO:0032266; GO:0032585; GO:0035658; GO:0043547; GO:0044395; GO:0048278; GO:0097352
Q05791	41,852	360	GO:0000287; GO:0005524; GO:0005737; GO:0007050; GO:0045948; GO:0051301; GO:1905143
P06704	18,751	161	GO:0005200; GO:0005509; GO:0005643; GO:0005825; GO:0007020; GO:0007067; GO:0015031; GO:0030474; GO:0043161; GO:0043549; GO:0051028; GO:0051301; GO:0070390
P32562	81,031	705	GO:0000712; GO:0000922; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005935; GO:0006468; GO:0008047; GO:0008104; GO:0010458; GO:0010696; GO:0051301; GO:0070194; GO:0090306; GO:1902542; GO:1903353
P09119	58,037	513	GO:0000082; GO:0003682; GO:0003688; GO:0003924; GO:0005524; GO:0005525; GO:0005656; GO:0005694; GO:0006267; GO:0006270; GO:0016887; GO:0030174; GO:0031261; GO:0031938; GO:0051301
Q12102	96,254	859	GO:0003723; GO:0005847; GO:0005849; GO:0006378; GO:0098789
P53188	14,417	120	GO:0005730; GO:0006364; GO:0042254
P30283	50,431	435	GO:0000079; GO:0000082; GO:0000086; GO:0005634; GO:0006279; GO:0010696; GO:0016538; GO:0045740; GO:0051301; GO:1901673
P38910	11,372	106	GO:0005524; GO:0005759; GO:0006457; GO:0006986; GO:0042026; GO:0045041; GO:0046872; GO:0051082; GO:0051085; GO:0051087; GO:0051131
P32657	168,241	1468	GO:0000124; GO:0000182; GO:0000790; GO:0001178; GO:0003677; GO:0004386; GO:0005524; GO:0006363; GO:0006368; GO:0006369; GO:0008094; GO:0016584; GO:0030874; GO:0031490; GO:0034728; GO:0035064; GO:0042766; GO:0043044; GO:0044212; GO:0046695; GO:0060303; GO:0070615; GO:0071441; GO:0071894; GO:1900050; GO:1902275; GO:2000104; GO:2000616
P50077	234,599	2039	GO:0005245; GO:0005262; GO:0005509; GO:0005886; GO:0006816; GO:0016021; GO:0086010
P32797	104,904	924	GO:0000723; GO:0000784; GO:0007004; GO:0007049; GO:0010521; GO:0016233; GO:0032210; GO:0043047; GO:0051301; GO:0051974; GO:0071166; GO:0098505; GO:1990879
Q00684	61,907	551	GO:0000278; GO:0004721; GO:0004722; GO:0004725; GO:0005634; GO:0005730; GO:0005737; GO:0005816; GO:0005935; GO:0006470; GO:0007059; GO:0007096; GO:0008138; GO:0030869; GO:0032467; GO:0051229; GO:0051256; GO:0051301; GO:0071470; GO:0071850; GO:0072686
P09798	94,992	840	GO:0005634; GO:0005680; GO:0005829; GO:0007067; GO:0016567; GO:0031145; GO:0032297; GO:0051301
P16522	73,114	626	GO:0000777; GO:0005680; GO:0007067; GO:0016567; GO:0030071; GO:0030332; GO:0031145; GO:0051301
P14724	14,081	124	GO:0005634; GO:0005680; GO:0005829; GO:0007067; GO:0016567; GO:0030071; GO:0031145; GO:0031497; GO:0051301
Q08032	74,249	650	GO:0000727; GO:0003682; GO:0003688; GO:0003697; GO:0005634; GO:0005656; GO:0006267; GO:0006270; GO:0031261; GO:0031298; GO:0031938; GO:0043138; GO:0043596; GO:1900087; GO:1902977
P25694	91,996	835	GO:0000837; GO:0000839; GO:0005524; GO:0005634; GO:0005789; GO:0005829; GO:0008599; GO:0016236; GO:0016320; GO:0016887; GO:0030433; GO:0030970; GO:0031134; GO:0034098; GO:0034517; GO:0034727; GO:0036266; GO:0043130; GO:0043161; GO:0046034; GO:0051228; GO:0051974; GO:0070651; GO:0071629; GO:0071630; GO:0071712; GO:0072671; GO:1900182; GO:1990112; GO:1990116; GO:1990171; GO:2001168
P07252	76,172	654	GO:0000958; GO:0003729; GO:0005739; GO:0006397; GO:0009060; GO:0031314
Q12127	13,058	133	GO:0000747; GO:0000752; GO:0005199; GO:0005576; GO:0005934; GO:0009277; GO:0031225; GO:0031505; GO:0043332
P19073	21,323	191	GO:0000131; GO:0000329; GO:0000747; GO:0000750; GO:0001403; GO:0003924; GO:0005525; GO:0005886; GO:0005934; GO:0005935; GO:0005940; GO:0007049; GO:0007096; GO:0007118; GO:0007119; GO:0007264; GO:0022604; GO:0030010; GO:0031106; GO:0031384; GO:0031965; GO:0032889; GO:0043332; GO:0045921; GO:0060178; GO:2000222
P25656	44,982	391	GO:0005802; GO:0006886; GO:0006897; GO:0016021; GO:0031902; GO:0045332; GO:0051666; GO:1990530
Q06549	15,536	142	GO:0004126; GO:0005634; GO:0005737; GO:0005829; GO:0006216; GO:0006217; GO:0008270; GO:0008655; GO:0042802
P39525	47,555	442	GO:0004315; GO:0005739; GO:0006633
O13297	61,850	549	GO:0004651; GO:0006370; GO:0031533; GO:0032968; GO:0098501; GO:1900182
P32943	44,145	380	GO:0000079; GO:0000082; GO:0005634; GO:0006279; GO:0016538; GO:0045740; GO:0051301
P43634	74,393	648	GO:0000981; GO:0003700; GO:0005634; GO:0006351; GO:0006357; GO:0008270; GO:0009063; GO:0044212; GO:0045893
P17106	39,388	351	GO:0000122; GO:0000775; GO:0000776; GO:0000978; GO:0001076; GO:0001077; GO:0001078; GO:0001102; GO:0001103; GO:0005634; GO:0005739; GO:0006338; GO:0007059; GO:0019237; GO:0045944; GO:0061427; GO:0061432; GO:0089713; GO:1900375; GO:1900478
Q7LHD1	13,713	136	GO:0005576; GO:0009277; GO:0031225
Q06702	34,642	301	GO:0000272; GO:0004099; GO:0005631; GO:0006032; GO:0030476
P25342	37,025	322	GO:0000144; GO:0000281; GO:0000921; GO:0001400; GO:0003924; GO:0005198; GO:0005525; GO:0005545; GO:0005628; GO:0005876; GO:0010314; GO:0010458; GO:0030011; GO:0031105; GO:0032160; GO:0032947; GO:0042764; GO:0043934; GO:0070273; GO:0072687
P32468	46,668	407	GO:0000144; GO:0000281; GO:0000921; GO:0003924; GO:0005198; GO:0005525; GO:0005621; GO:0005937; GO:0010314; GO:0016020; GO:0030011; GO:0031105; GO:0032160; GO:0032947; GO:0045860; GO:0070273
P27636	110,242	974	GO:0000281; GO:0004672; GO:0004702; GO:0005524; GO:0005737; GO:0005816; GO:0005935; GO:0006468; GO:0007067; GO:0007096; GO:0030036; GO:0051229
P40986	57,147	491	GO:0005783; GO:0006281; GO:0006506; GO:0006888; GO:0007049; GO:0016021; GO:0016787; GO:0046872; GO:0051301
P06101	58,385	506	GO:0000161; GO:0005737; GO:0006457; GO:0030474; GO:0031072; GO:0032872; GO:0050821; GO:0051082; GO:0051087; GO:0051301; GO:0051726
Q06350	59,118	511	GO:0000272; GO:0004568; GO:0005576; GO:0006032; GO:0008061; GO:0030435
P29029	59,015	562	GO:0000272; GO:0000920; GO:0005576; GO:0005935; GO:0006032; GO:0008061; GO:0008843; GO:0009277; GO:0071555
P38907	52,672	458	GO:0000942; GO:0005198; GO:0007059; GO:0007094; GO:0034087; GO:0034089; GO:0034090; GO:0051301; GO:0051382; GO:0071459
P21560	39,084	335	GO:0005739; GO:0005761; GO:0032592; GO:0034551; GO:0043022; GO:0061671; GO:0070131
Q06697	44,456	393	GO:0000993; GO:0001076; GO:0001089; GO:0003682; GO:0005634; GO:0006362; GO:0006368; GO:0016570; GO:0016593; GO:0031124; GO:0032968; GO:0034402; GO:0035327; GO:0045910; GO:0090262; GO:1990269; GO:2001165; GO:2001173; GO:2001209; GO:2001255
P06243	58,320	507	GO:0000727; GO:0000775; GO:0001100; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006270; GO:0006279; GO:0006468; GO:0006909; GO:0007067; GO:0008360; GO:0018105; GO:0031431; GO:0031938; GO:0046872; GO:0051301; GO:0060903; GO:1903343
P36012	26,841	229	GO:0000070; GO:0000775; GO:0000776; GO:0000777; GO:0000780; GO:0005727; GO:0006334; GO:0019237; GO:0030543; GO:0031492; GO:0043505; GO:0043565; GO:0051382
Q12453	84,769	761	GO:0000049; GO:0005737; GO:0006409
P34237	77,514	679	GO:0000139; GO:0006891; GO:0030173; GO:0048193
P14066	26,586	229	GO:0005761; GO:0031314; GO:0045182; GO:0070131; GO:0097033
P36038	31,157	271	GO:0005739; GO:0006364; GO:0006397; GO:0017004; GO:0048255
P00546	34,061	298	GO:0000307; GO:0000706; GO:0000993; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0005783; GO:0005935; GO:0006370; GO:0007070; GO:0007130; GO:0010494; GO:0010568; GO:0010569; GO:0010570; GO:0010571; GO:0010696; GO:0010898; GO:0016192; GO:0018105; GO:0018107; GO:0032210; GO:0034504; GO:0042393; GO:0045875; GO:0045892; GO:0045893; GO:0045930; GO:0045931; GO:0045944; GO:0051301; GO:0051446; GO:0051447; GO:0060303; GO:0070816; GO:0090169; GO:1902002; GO:1990139; GO:1990758; GO:1990801; GO:1990802; GO:1990803; GO:1990804; GO:2001033
P39113	160,485	1433	GO:0000978; GO:0001077; GO:0005634; GO:0005975; GO:0008270; GO:0035948; GO:0035959; GO:0061414
P06115	64,583	562	GO:0000302; GO:0004096; GO:0005739; GO:0005777; GO:0020037; GO:0042542; GO:0042744; GO:0046872; GO:0071472
P48237	101,423	864	GO:0000002; GO:0000963; GO:0005739; GO:0006397; GO:0008380; GO:0016072; GO:0019843
P38428	22,763	203	GO:0000837; GO:0000839; GO:0030176; GO:0030433; GO:0043130; GO:0097027; GO:0097051
P41817	34,654	306	GO:0000978; GO:0001103; GO:0001133; GO:0005634; GO:0035952; GO:0035955
Q03375	15,763	135	GO:0000398; GO:0005684; GO:0005737
P53333	67,294	577	GO:0000398; GO:0003723; GO:0005684; GO:0005737; GO:0071013
P28319	24,268	239	GO:0005199; GO:0005576; GO:0005628; GO:0009277; GO:0031225; GO:0031505; GO:0032120; GO:0071597
P08678	227,834	2026	GO:0000287; GO:0004016; GO:0005524; GO:0005739; GO:0005789; GO:0005886; GO:0007188; GO:0007265
P47179	118,360	1161	GO:0005199; GO:0005576; GO:0005886; GO:0006950; GO:0009277; GO:0031225; GO:0031505
P33307	109,356	960	GO:0005049; GO:0005635; GO:0005829; GO:0006606; GO:0006611; GO:0007067; GO:0051301
Q12150	338,258	2958	GO:0006113; GO:0016021; GO:0051604
Q06686	27,534	241	GO:0005887; GO:0015088; GO:0015677; GO:0030659
P25355	65,206	563	GO:0005737; GO:0009088
P40312	13,297	120	GO:0005789; GO:0009055; GO:0016021; GO:0016126; GO:0020037; GO:0031090; GO:0046872; GO:0055114
P00044	12,182	109	GO:0005758; GO:0006122; GO:0006123; GO:0009055; GO:0020037; GO:0046872; GO:0070469
P53728	34,946	308	GO:0003755; GO:0006457
P06106	48,672	444	GO:0003961; GO:0004124; GO:0005737; GO:0006555; GO:0019343; GO:0019344; GO:0019346; GO:0030170
P21657	109,174	970	GO:0000981; GO:0001080; GO:0001128; GO:0001135; GO:0001190; GO:0003677; GO:0005634; GO:0008270; GO:0045848; GO:1901714; GO:1901717
P53267	38,422	343	GO:0005737; GO:0008608; GO:0031116; GO:0042729; GO:0044732; GO:0051301; GO:0051987; GO:1990537; GO:1990758
Q12091	16,758	152	GO:0005768; GO:0016020; GO:0020037; GO:0032443
Q04201	12,893	117	GO:0000839; GO:0030176; GO:0030433; GO:0043130; GO:0097027
Q06469	29,163	252	GO:0005634; GO:0006351; GO:0006355; GO:0006457; GO:0006886; GO:0034504; GO:0034605; GO:0051087
P53854	20,374	179	GO:0000398; GO:0005684
P47103	45,134	393	GO:0003755; GO:0005829; GO:0034605; GO:0042026; GO:0051082
P38909	42,368	366	GO:0004128; GO:0007006; GO:0016491; GO:0018063; GO:0031314; GO:0071949
P00045	12,532	113	GO:0005758; GO:0006122; GO:0006123; GO:0009055; GO:0020037; GO:0046872; GO:0070469
P25719	19,919	182	GO:0003755; GO:0005739; GO:0005759; GO:0006457; GO:0006915; GO:0042277
P25334	35,780	318	GO:0003755; GO:0006457; GO:0016020; GO:0016021
P32328	65,880	564	GO:0000281; GO:0000917; GO:0004674; GO:0005524; GO:0005816; GO:0005935; GO:0006468; GO:0010458; GO:0018105; GO:0031031; GO:0035556; GO:0061013
P24783	60,999	546	GO:0000184; GO:0003723; GO:0004004; GO:0005524; GO:0005634; GO:0005737; GO:0006364; GO:0008186; GO:0010501; GO:0071042; GO:1990120
P36120	83,308	742	GO:0000463; GO:0003723; GO:0004004; GO:0005524; GO:0005730; GO:0010501
P21182	46,232	396	GO:0004014; GO:0005829; GO:0006557; GO:0006597; GO:0008295; GO:0015940
P25559	44,074	380	GO:0000775; GO:0000785; GO:0005654; GO:0006260; GO:0006275; GO:0007064; GO:0031390; GO:0034088; GO:0035753
Q08955	18,307	156	GO:0000784; GO:0005789; GO:0007129; GO:0010520; GO:0016021; GO:0030435; GO:0031965; GO:0045132; GO:0045141
P38877	15,169	133	GO:0003677; GO:0005634; GO:0006260; GO:0007064; GO:0031390; GO:0035753
P46963	34,809	296	GO:0005654; GO:0005730; GO:0005737; GO:0006351; GO:0006397; GO:0006468; GO:0006974; GO:0032786; GO:0045903; GO:0045943; GO:0070692; GO:0071619
P38865	21,651	189	GO:0000329; GO:0005375; GO:0006878; GO:0015088; GO:0015677; GO:0015680; GO:0016021
P15315	24,425	225	GO:0000978; GO:0001202; GO:0005507; GO:0005634; GO:0006351; GO:0006357; GO:0006878; GO:0006879; GO:0045944; GO:0046688; GO:0071468
Q02770	35,026	301	GO:0003755; GO:0005684; GO:0005737; GO:0006397; GO:0006457; GO:0008380
P25618	107,883	953	GO:0005789; GO:0005887; GO:0005934; GO:0005935; GO:0006506; GO:0031505; GO:0071555
P43497	8,911	92	GO:0005199; GO:0005576; GO:0009277; GO:0031225; GO:0031505
P28320	32,312	278	GO:0000349; GO:0071006
P46947	30,472	266	GO:0000398; GO:0005634; GO:0005681; GO:0005737; GO:0006406; GO:0070274
P53008	96,507	833	GO:0004573; GO:0005789; GO:0006487; GO:0009272; GO:0009311; GO:0016021; GO:0070880
P07143	34,055	309	GO:0005743; GO:0005746; GO:0005750; GO:0005758; GO:0005829; GO:0006119; GO:0006122; GO:0006626; GO:0020037; GO:0045153; GO:0046872
P32898	112,180	989	GO:0004222; GO:0005739; GO:0005758; GO:0006508; GO:0008270; GO:0016485; GO:0051603
Q12248	10,516	94	GO:0005737; GO:0005876; GO:0008608; GO:0030472; GO:0031116; GO:0042729; GO:0044732; GO:0051301; GO:0051987; GO:1990758
P36162	15,072	133	GO:0005737; GO:0005874; GO:0008608; GO:0031116; GO:0042729; GO:0044732; GO:0051301; GO:0051987; GO:1990023; GO:1990758
P18962	93,404	818	GO:0000329; GO:0004252; GO:0008239; GO:0016021; GO:0016485
Q06218	68,060	594	GO:0000463; GO:0003723; GO:0004003; GO:0004004; GO:0005524; GO:0005730; GO:0010501; GO:0033680
P33750	56,789	489	GO:0000462; GO:0005654; GO:0005730; GO:0031167; GO:0032040; GO:0080008
Q08558	30,058	271	GO:0004165; GO:0005782; GO:0006635
Q12734	124,849	1121	GO:0005634; GO:0005737; GO:0006351; GO:0006357; GO:0031505; GO:0031625; GO:0070086
P53923	56,473	493	GO:0000049; GO:0001403; GO:0002098; GO:0002143; GO:0005829; GO:0007124; GO:0016779; GO:0016783; GO:0032447; GO:0034227
P36075	50,874	443	GO:0043130
Q12046	38,431	339	GO:0000166; GO:0000387; GO:0000398; GO:0000974; GO:0007049; GO:0017070; GO:0033120; GO:0036002; GO:0045292; GO:0045787; GO:0046872; GO:0071006; GO:0071007
Q07533	100,621	885	GO:0000142; GO:0000917; GO:0005935; GO:0030234; GO:0044697
P53206	42,801	393	GO:0004124; GO:0005741; GO:0006535; GO:0016021; GO:0016740; GO:0030170
Q05080	76,207	669	GO:0000142; GO:0000144; GO:0000281; GO:0000917; GO:0007067; GO:0008092; GO:0044697; GO:0090339
P54838	62,207	584	GO:0004371; GO:0005524; GO:0019563; GO:0019588; GO:0050354; GO:0097237
P26343	30,166	269	GO:0000122; GO:0000981; GO:0005634; GO:0006351; GO:0008270; GO:0042128; GO:0043565; GO:0090295
P32347	41,349	362	GO:0004853; GO:0005634; GO:0005829; GO:0006782; GO:0006783
P69850	10,848	94	GO:0005737; GO:0005874; GO:0008608; GO:0031116; GO:0042729; GO:0051301; GO:0051987; GO:0072686; GO:1990758
P15365	60,850	543	GO:0005886; GO:0015124; GO:0015719; GO:0016021; GO:0042936; GO:0042938; GO:0042939
P47178	29,606	298	GO:0005199; GO:0005576; GO:0006950; GO:0009277; GO:0015918; GO:0031225; GO:0031505
P13483	27,067	248	GO:0000122; GO:0003680; GO:0005634; GO:0005829
Q12084	26,595	232	GO:0004849; GO:0005524; GO:0005634; GO:0005829; GO:0006206; GO:0043097; GO:0044206; GO:0044211
P24309	47,741	405	GO:0000398; GO:0005634; GO:0005737; GO:0006401; GO:0007124; GO:0008419; GO:0016074; GO:0032197
P08432	52,285	466	GO:0004586; GO:0009446; GO:0015940; GO:0033387
Q05871	31,698	280	GO:0004165; GO:0005777; GO:0006635
P38167	123,610	1117	GO:0005737; GO:0031625; GO:0070086; GO:0071555
P38728	19,812	170	GO:0016021; GO:0071555
Q05902	73,180	660	GO:0000324; GO:0003840; GO:0005774; GO:0006751; GO:0006805; GO:0016021; GO:0036374
P47163	39,024	339	GO:0005737; GO:0016279; GO:0018023
P36053	16,157	145	GO:0000993; GO:0005634; GO:0006368; GO:0008023; GO:0046872; GO:0048096
Q03071	11,328	99	GO:0005737; GO:0031463; GO:0032968; GO:0042787; GO:0070449; GO:0070911
Q02884	51,156	456	GO:0000123; GO:0000993; GO:0002098; GO:0005654; GO:0005737; GO:0006357; GO:0006368; GO:0008023; GO:0033588; GO:0043966; GO:0043967
P38333	55,137	483	GO:0000447; GO:0005634; GO:0005730; GO:0005737; GO:0006364; GO:0030515; GO:0030686; GO:0030688
Q05785	71,807	613	GO:0000147; GO:0005737; GO:0006897; GO:0007015; GO:0008289; GO:0016020; GO:0030276
P47160	45,091	408	GO:0000147; GO:0005768; GO:0005794; GO:0005829; GO:0006895; GO:0007015; GO:0015031; GO:0030036; GO:0030125; GO:0030276; GO:0030479; GO:0032266; GO:0032511; GO:0034498; GO:0071985; GO:0080025
P53938	41,674	366	GO:0005789; GO:0006487; GO:0016021; GO:0034599
P32462	50,615	438	GO:0006696; GO:0030176; GO:0050613; GO:0050661
Q12432	45,203	401	GO:0000123; GO:0006281; GO:0006338; GO:0006342; GO:0006357; GO:0006368; GO:0016573; GO:0016575; GO:0030174; GO:0032221; GO:0035267; GO:0043967; GO:0043968; GO:0045892; GO:0060195
P53911	49,391	425	GO:0000123; GO:0006281; GO:0006351; GO:0006357; GO:0016573; GO:0035267
P53080	19,238	175	GO:0000184; GO:0000290; GO:0003729; GO:0005634; GO:0005737; GO:0006397; GO:0032056
P38073	103,397	919	GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270
P29547	47,088	415	GO:0001047; GO:0003700; GO:0003746; GO:0005085; GO:0005509; GO:0005543; GO:0005634; GO:0005737; GO:0006414; GO:0006449; GO:0010494; GO:0042254; GO:0045944
P38347	47,977	419	GO:0005737; GO:0008757; GO:0016279; GO:0018022; GO:0018027; GO:0045905
Q03653	89,191	782	GO:0005886; GO:0090002
P09032	65,700	578	GO:0003743; GO:0005851; GO:0006446; GO:0032045; GO:0043547; GO:1903574
P32497	93,204	812	GO:0001731; GO:0003743; GO:0005737; GO:0005852; GO:0006413; GO:0006446; GO:0010494; GO:0016282; GO:0031369; GO:0033290; GO:0043614
P40217	38,755	347	GO:0001731; GO:0002183; GO:0002188; GO:0003743; GO:0005852; GO:0006413; GO:0006446; GO:0010494; GO:0016282; GO:0033290; GO:0043614
Q12050	91,262	791	GO:0000723; GO:0000724; GO:0000781; GO:0003682; GO:0005634; GO:0006261; GO:0007064; GO:0010526; GO:0031391; GO:0045910; GO:0090618
P25358	40,002	347	GO:0005783; GO:0005789; GO:0009922; GO:0016021; GO:0016192; GO:0030148; GO:0030497; GO:0032511; GO:0042761; GO:0102336; GO:0102337; GO:0102338
P53073	21,460	190	GO:0034975; GO:0072546
Q08651	37,485	330	GO:0005739; GO:0005773; GO:0005811; GO:0006624; GO:0007033; GO:0016021; GO:0016491
P36049	49,734	427	GO:0000280; GO:0005730; GO:0006364; GO:0030687; GO:0034399; GO:0042273
Q04110	34,113	302	GO:0000795; GO:0005634; GO:0007131; GO:0070193; GO:0071555
Q06011	12,515	112	GO:0016021; GO:0031966; GO:0071555
Q05958	89,286	814	GO:0000978; GO:0001077; GO:0005634; GO:0008270; GO:0016020; GO:0035961; GO:0035969; GO:0048471; GO:1904741
P38737	210,431	1868	GO:0000502; GO:0005634; GO:0005737; GO:0032947; GO:0043248
Q02202	44,583	377	GO:0071555
P32324	93,289	842	GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006414; GO:0017183; GO:0019843; GO:0045901; GO:1990145
Q3E705	27,121	233	GO:0000321; GO:0000462; GO:0005730; GO:0030688
P40516	28,690	257	GO:0005737; GO:0016192; GO:0016279; GO:0018026; GO:0018027
P06103	88,130	763	GO:0000166; GO:0001731; GO:0002183; GO:0003743; GO:0005852; GO:0006413; GO:0006446; GO:0010494; GO:0016282; GO:0033290; GO:0043614
Q04067	30,501	274	GO:0000166; GO:0001731; GO:0002188; GO:0003743; GO:0005852; GO:0006413; GO:0006415; GO:0006446; GO:0010494; GO:0016282; GO:0033290; GO:0043614
P32801	72,150	640	GO:0000144; GO:0000281; GO:0000902; GO:0000921; GO:0004674; GO:0005524; GO:0006006; GO:0006468; GO:0007117; GO:0007124; GO:0031954; GO:0042493; GO:0046777; GO:0046872; GO:1902935
Q02908	63,657	557	GO:0000123; GO:0002098; GO:0004402; GO:0005634; GO:0005654; GO:0005737; GO:0006357; GO:0006368; GO:0008023; GO:0015031; GO:0033588; GO:0046872; GO:0051536
P47133	33,855	292	GO:0034975; GO:0072546
P32626	25,187	227	GO:0000287; GO:0005634; GO:0005737; GO:0019284; GO:0019509; GO:0043715; GO:0043716; GO:0043874
Q07872	28,271	247	GO:0000147; GO:0006897; GO:0007015; GO:0030276; GO:0030479; GO:0090002
Q03769	47,321	411	GO:0005768; GO:0005829; GO:0006895; GO:0008289; GO:0010008; GO:0015031; GO:0030125; GO:0030276; GO:0032511; GO:0034498; GO:0080025
P39540	36,234	310	GO:0005789; GO:0009922; GO:0016020; GO:0016021; GO:0019368; GO:0102336; GO:0102337; GO:0102338
P40319	39,465	345	GO:0005783; GO:0005789; GO:0006633; GO:0006892; GO:0009922; GO:0016021; GO:0030148; GO:0030497; GO:0032511; GO:0042761; GO:0102336; GO:0102337; GO:0102338
Q04409	55,921	500	GO:0001678; GO:0004340; GO:0005524; GO:0005536; GO:0005829; GO:0006096; GO:0008865; GO:0019158; GO:0030435
Q12396	50,947	444	GO:0000139; GO:0001948; GO:0005537; GO:0005789; GO:0005793; GO:0006888; GO:0007029; GO:0007030; GO:0015031; GO:0016021; GO:0030134; GO:0046872
Q99382	20,742	181	GO:0005773; GO:0006624; GO:0016021
P25340	56,040	473	GO:0000246; GO:0005783; GO:0006696; GO:0030176
P38819	24,249	212	GO:0005789; GO:0015031; GO:0016021; GO:0016192
Q03096	20,555	181	GO:0000781; GO:0003924; GO:0005634; GO:0005697; GO:0007004; GO:0033680; GO:0042162
P02992	47,972	437	GO:0003746; GO:0003924; GO:0005525; GO:0005739; GO:0032543; GO:0070125
Q04868	30,574	273	GO:0002098; GO:0005654; GO:0005737; GO:0006351; GO:0006357; GO:0032447; GO:0033588
P32803	23,332	203	GO:0000139; GO:0005783; GO:0005789; GO:0006621; GO:0006888; GO:0015031; GO:0016021; GO:0016050; GO:0030134
P39013	40,297	349	GO:0000147; GO:0005509; GO:0005886; GO:0006897; GO:0007015; GO:0007121; GO:0010008; GO:0030476; GO:0030479; GO:0030674
P53246	98,109	860	GO:0003677; GO:0005634; GO:0005773; GO:0006624; GO:0007033; GO:0046872
Q12003	40,749	364	GO:0004674; GO:0005524; GO:0005774; GO:0006468; GO:0006624; GO:0032889
Q04660	91,705	807	GO:0000463; GO:0000466; GO:0005654; GO:0006364; GO:0030687; GO:0042273; GO:0043021; GO:0070180; GO:0070545
P16151	43,230	362	GO:0005789; GO:0005794; GO:0005886; GO:0006486; GO:0006621; GO:0015031; GO:0016020; GO:0016021
P53199	38,706	349	GO:0000252; GO:0003854; GO:0005783; GO:0005789; GO:0006696; GO:0047012
Q12452	39,725	347	GO:0000253; GO:0005783; GO:0005789; GO:0005811; GO:0006696
P32353	42,730	365	GO:0000248; GO:0005506; GO:0005788; GO:0005789; GO:0006633; GO:0006696; GO:0016021
P38604	83,460	731	GO:0000250; GO:0005789; GO:0005811; GO:0006696
P62651	8,039	68	GO:0000506; GO:0005095; GO:0005789; GO:0006506; GO:0007265; GO:0016021
P0CX10	47,328	437	GO:0000015; GO:0000287; GO:0004634; GO:0006096
P0CX11	47,328	437	GO:0000015; GO:0000287; GO:0004634; GO:0006096
P38140	60,311	529	GO:0000122; GO:0000977; GO:0001078; GO:0005634; GO:0005737; GO:0006094; GO:0006351; GO:0008270; GO:0015976; GO:0035948; GO:0043565; GO:0061414; GO:0061415
Q12284	22,141	196	GO:0003756; GO:0005739; GO:0015035; GO:0016971; GO:0016972; GO:0030176; GO:0050660; GO:0055114
Q08649	52,613	445	GO:0000183; GO:0000790; GO:0001207; GO:0004402; GO:0006281; GO:0006354; GO:0006357; GO:0010485; GO:0016239; GO:0016573; GO:0018394; GO:0032777; GO:0032968; GO:0034212; GO:0035267; GO:0051726
P53918	73,802	673	GO:0005215; GO:0005739; GO:0005789; GO:0006810; GO:0015293; GO:0016020; GO:0034220; GO:0071627
P38125	63,407	572	GO:0005275; GO:0005628; GO:0015837; GO:0016021; GO:0030476; GO:0055085
P32528	201,832	1835	GO:0000256; GO:0004039; GO:0004075; GO:0004847; GO:0005524; GO:0006525; GO:0043419; GO:0046872
P33413	80,617	735	GO:0005886; GO:0005887; GO:0015204; GO:0015293; GO:0015489; GO:0015606; GO:0015840; GO:0015847; GO:0015848; GO:0043419
Q06337	112,502	982	GO:0000123; GO:0003677; GO:0006281; GO:0006325; GO:0006351; GO:0006355; GO:0016569; GO:0035267; GO:0043623
P38195	28,562	257	GO:0035690; GO:0071555
P35195	11,518	104	GO:0005634; GO:0005737
P47144	80,656	725	GO:0005623; GO:0006874; GO:0016021; GO:0055085; GO:0070316
P38248	43,769	429	GO:0005576; GO:0005886; GO:0009277; GO:0031225; GO:0031505
Q03214	162,701	1411	GO:0003677; GO:0005634; GO:0008270; GO:0034599; GO:0071555
P40023	16,071	145	GO:0000184; GO:0000290; GO:0003729; GO:0005634; GO:0005730; GO:0005737; GO:0006397; GO:0032056
P42935	89,411	788	GO:0002098; GO:0005634; GO:0005654; GO:0005737; GO:0006351; GO:0006357; GO:0008017; GO:0015031; GO:0032447; GO:0033588
P36039	28,352	253	GO:0034975; GO:0072546
P40540	15,907	141	GO:0034975; GO:0072546
P42842	102,336	904	GO:0005634; GO:0005737; GO:0031505
Q08299	66,970	606	GO:0005768; GO:0005774; GO:0005886; GO:0006879; GO:0010008; GO:0015620; GO:0015685; GO:0016021; GO:0033101
Q04949	36,825	312	GO:0003774; GO:0005868; GO:0005881; GO:0030473
P12754	70,852	651	GO:0003743; GO:0005851; GO:0006446; GO:0030234; GO:0032045; GO:0043547; GO:0045947
